1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,OverallQual,TotalBsmtSF,YearBuilt,SalePrice,TotalBsmtSF_binary,GarageArea_binary,OpenPorchSF_binary
2515,484,1975,2515,32668,6,2035,1957,200624,1,1,0
958,240,1941,1578,9490,6,806,1941,133000,1,1,0
979,352,1950,1203,7015,5,709,1950,110000,1,1,0
1156,505,1977,2022,10005,7,1160,1977,192000,1,1,1
525,264,1971,1092,1680,6,525,1971,88000,1,1,0
1022,280,1956,1022,7200,5,1022,1910,85000,1,1,1
1464,754,2007,1464,15256,8,1485,2007,282922,1,1,1
780,544,1979,1375,9000,6,780,1937,141000,1,1,1
2411,813,1996,4476,15623,10,2396,1996,745000,1,1,1
551,480,2004,1102,5105,7,551,2004,148800,1,1,1
1352,466,2006,1352,4230,7,1352,2006,208900,1,1,1
1680,528,1976,1680,11500,5,1680,1976,136905,1,1,0
1005,490,1999,1983,10762,7,978,1999,225000,1,1,0
900,288,1967,900,7838,5,864,1967,123000,1,1,1
1082,240,1948,1082,11664,6,1082,1948,119200,1,1,1
1314,294,1957,1314,8400,5,1314,1957,145000,1,1,0
1061,564,1992,1923,10186,7,750,1992,190000,1,1,1
990,0,0,990,8070,4,990,1994,123600,1,0,0
1228,271,1966,1228,8544,5,1228,1966,149350,1,1,1
916,164,1915,1826,2500,7,910,1915,155000,1,1,0
910,720,2000,1385,8520,5,910,1952,166000,1,1,0
848,420,2004,848,4438,6,848,2004,144500,1,1,0
816,516,1963,816,8472,5,816,1963,110000,1,1,0
702,343,1994,1481,8125,6,702,1994,174000,1,1,1
943,540,1974,1876,9120,6,901,1974,185000,1,1,1
916,424,1925,1742,17671,8,916,1882,168000,1,1,1
769,440,2000,1573,2117,6,756,2000,177500,1,1,1
630,0,0,630,1936,4,630,1970,84500,1,0,0
1698,768,2007,1698,13286,9,1698,2007,320000,1,1,1
832,336,1947,1216,8480,5,832,1947,118500,1,1,0
1776,888,1968,1776,11475,5,1584,1958,110000,1,1,1
1006,425,1993,1775,9317,7,740,1993,213000,1,1,1
912,470,1978,912,7540,6,888,1978,156000,1,1,0
1145,836,2000,2198,14260,8,1145,2000,250000,1,1,1
2046,834,2008,2046,11844,8,2046,2008,372500,1,1,1
729,406,1996,1446,21872,7,729,1996,175000,1,1,1
1561,556,2005,1561,7313,9,1561,2005,277500,1,1,1
882,461,1980,882,7700,5,882,1972,112500,1,1,0
912,615,2003,2094,9375,7,912,2003,263000,1,1,1
1500,712,1994,2622,12256,8,1463,1994,325000,1,1,1
2158,576,1950,2158,12615,6,1202,1950,243000,1,1,1
1360,572,1962,1360,7134,5,384,1955,130000,1,1,1
1310,400,2005,1310,8767,7,1310,2005,164990,1,1,0
1836,862,2004,1836,11362,8,1836,2004,280000,1,1,1
1490,810,1995,2794,15138,8,1462,1995,403000,1,1,1
1728,352,2002,1728,10624,5,1728,1964,119000,1,1,0
825,720,1963,825,8235,5,825,1955,125000,1,1,1
894,308,1976,894,10650,5,894,1976,128200,1,1,0
918,440,1978,1683,11184,6,918,1978,172500,1,1,0
930,308,1946,930,11100,4,0,1946,84900,0,1,0
1572,726,2003,2668,13688,9,1572,2003,412500,1,1,0
1073,515,1965,1073,10289,5,1073,1965,156000,1,1,0
1334,630,1977,1334,9650,6,1350,1977,167900,1,1,1
788,0,0,788,7446,4,788,1941,100000,1,0,0
1644,569,1989,1644,12800,7,1518,1989,275000,1,1,0
872,480,1974,872,8294,4,858,1971,123000,1,1,0
768,360,1910,1432,9600,5,264,1910,132000,1,1,0
901,800,2005,1801,10463,8,893,2005,239900,1,1,1
1121,480,1963,1121,8816,5,1121,1963,139000,1,1,1
789,250,1948,789,6000,5,789,1948,115000,1,1,0
