1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,OverallQual,TotalBsmtSF,YearBuilt,SalePrice,TotalBsmtSF_binary,GarageArea_binary,OpenPorchSF_binary
1828,774,2007,1828,11694,9,1822,2007,314813,1,1,1
894,308,1962,894,6600,5,894,1962,109500,1,1,0
964,432,1921,964,13360,5,876,1921,163500,1,1,0
1689,857,2002,1689,13265,8,1568,2002,271000,1,1,1
1541,843,2001,1541,13704,7,1541,2001,205000,1,1,1
1221,400,2004,1221,7500,7,1221,2004,185000,1,1,1
1324,440,1965,1324,8658,6,1088,1965,160000,1,1,1
696,484,1999,1416,2572,7,696,1999,155000,1,1,1
526,297,1973,988,1596,4,462,1973,91000,1,1,1
869,440,2003,1218,6000,6,735,1941,131000,1,1,0
760,397,2003,1656,6931,7,746,2003,165400,1,1,1
1362,460,2005,1362,7577,6,1362,2005,194700,1,1,1
1051,442,1966,1839,7700,6,756,1966,155000,1,1,1
1375,451,1954,1375,11310,6,1367,1954,140000,1,1,1
1122,528,1948,1122,12000,5,924,1948,147000,1,1,1
1432,588,1978,1432,16157,5,1360,1978,194000,1,1,1
728,400,2007,1456,9018,7,728,2007,179540,1,1,1
1217,497,1990,1217,9947,7,1188,1990,173000,1,1,1
1040,625,1950,1040,7200,5,0,1950,109500,0,1,0
612,528,2009,1224,3000,6,612,2009,173733,1,1,1
1022,468,1931,1774,6120,7,952,1931,129900,1,1,0
961,384,1978,1367,8405,5,861,1900,119000,1,1,1
803,297,1951,1360,7200,5,803,1938,125500,1,1,1
848,420,2004,848,4426,6,848,2004,149300,1,1,0
1482,749,2003,2262,12244,8,1482,2003,305000,1,1,0
1220,396,1951,1220,8877,4,836,1951,102000,1,1,0
1414,398,2004,1414,3072,7,1375,2004,178740,1,1,1
1134,396,1950,2058,9600,6,735,1917,129500,1,1,0
1088,0,0,1198,5586,6,901,1920,79900,1,0,1
1659,499,2000,1659,5664,8,1501,2000,278000,1,1,1
1012,308,1920,1012,8263,6,1012,1920,118400,1,1,1
1687,672,1970,3082,15863,7,824,1920,197000,1,1,1
1032,672,1999,1812,7630,5,360,1900,140000,1,1,0
1057,650,2001,1929,7050,7,1057,2001,226000,1,1,1
954,576,1976,954,10780,5,911,1976,132500,1,1,0
1838,765,2006,1838,14601,9,1838,2006,315000,1,1,1
1640,924,1993,1640,14778,6,1296,1954,224000,1,1,0
1148,672,1959,1148,7931,5,1148,1959,132500,1,1,0
950,280,1981,950,9758,5,950,1971,119500,1,1,0
1065,471,1993,1911,9554,8,777,1993,215000,1,1,1
915,440,1950,1635,8737,6,1065,1923,210000,1,1,1
1316,440,2007,1316,11175,7,1316,2007,200141,1,1,1
1442,615,1970,1442,11717,6,1442,1970,185000,1,1,0
1078,500,1971,1078,12537,5,1078,1971,149900,1,1,0
1120,544,1961,1120,6970,4,1040,1961,129000,1,1,0
779,527,2002,1419,7750,8,408,2002,184100,1,1,0
707,240,1947,1389,3378,7,651,1946,135000,1,1,0
1063,280,1954,1063,9920,5,1056,1954,128000,1,1,0
1792,874,2003,1792,11846,9,1792,2003,374000,1,1,1
1216,402,1998,1216,4500,6,1216,1998,164000,1,1,1
998,576,1989,1762,7200,7,596,1920,157000,1,1,0
847,434,2004,1959,11796,7,847,2004,215000,1,1,1
1208,546,1977,1208,11250,6,1208,1977,165000,1,1,1
874,315,1958,1524,11344,5,874,1958,144000,1,1,0
796,240,1922,1154,5436,4,796,1922,125500,1,1,1
1048,420,1950,1048,7200,5,0,1950,98300,0,1,1
886,273,1938,886,5784,5,190,1938,91300,1,1,1
943,600,1979,943,7032,5,943,1979,135960,1,1,0
866,603,2005,1768,9803,7,866,2005,226700,1,1,1
1422,779,1999,2599,14774,9,1393,1999,333168,1,1,1
912,275,1958,912,10150,5,912,1958,114500,1,1,0
882,308,1956,882,12702,5,0,1956,97000,0,1,1
1337,511,1998,1337,4060,6,1405,1998,181000,1,1,1
2076,850,2006,2076,13891,10,2076,2006,465000,1,1,1
1328,752,1995,2531,12257,8,1318,1995,290000,1,1,1
981,240,1939,1768,7200,5,731,1937,175000,1,1,0
1625,538,2006,1625,4750,8,1573,2006,235000,1,1,0
1444,389,1958,2144,159000,6,1444,1958,277000,1,1,1
1521,880,1988,2775,13500,10,1237,1893,325000,1,1,1
1140,477,1984,1868,12090,6,585,1984,178000,1,1,1
1525,541,2000,1525,9100,7,1525,2000,235000,1,1,1
1571,722,2007,1571,10991,8,1571,2007,239000,1,1,1
796,0,0,796,8777,5,796,1910,85000,1,0,0
1378,432,1985,2372,6600,5,994,1892,107500,1,1,1
802,402,1991,1472,10784,7,384,1991,160000,1,1,0
960,364,1965,960,10246,4,648,1965,145000,1,1,0
734,372,2005,1838,21930,5,732,2005,192140,1,1,1
1309,484,1974,1309,10140,6,1040,1974,181000,1,1,0
2069,694,2006,2643,13693,9,2153,2006,380000,1,1,1
676,200,1941,1131,5720,5,676,1941,66500,1,1,0
960,400,1952,1960,7596,5,960,1952,124500,1,1,0
1144,336,1962,1144,9204,5,1144,1963,124000,1,1,1
1056,576,1980,1056,6979,6,1056,1980,144000,1,1,1
693,0,0,693,4118,4,693,1941,52500,1,0,1
1494,576,1997,1494,9236,6,1479,1997,217000,1,1,1
1646,482,2004,1646,3842,8,1594,2004,275000,1,1,1
864,352,1989,864,7180,5,864,1972,127000,1,1,0
1566,750,2008,1566,9000,8,1566,2008,262500,1,1,1
735,497,1972,1395,12936,6,723,1972,162000,1,1,1
848,539,1962,1208,6240,4,780,1925,103000,1,1,1
939,180,1933,1513,6120,5,939,1920,137500,1,1,0
959,560,1978,1367,6240,6,884,1931,127500,1,1,0
955,386,1966,955,7742,5,955,1966,127000,1,1,0
1077,210,1922,1077,9786,3,1007,1922,91000,1,1,1
1056,572,1955,1056,34650,5,1056,1955,145000,1,1,0
756,615,2005,1553,8125,7,756,2005,186500,1,1,1
1614,865,2005,1614,11210,7,1614,2005,221500,1,1,1
2042,1390,2009,2042,12704,8,2042,2008,253293,1,1,1
1073,326,1968,1073,5400,5,1073,1921,108480,1,1,0
1072,240,1948,1285,8635,5,672,1948,127000,1,1,0
2117,550,1970,2117,12925,6,1205,1970,237500,1,1,1
605,0,0,605,9098,4,528,1920,86000,1,0,0
1150,300,1959,1150,7945,5,1150,1959,141000,1,1,0
728,400,2005,1456,8029,6,728,2005,176000,1,1,1
999,588,1961,999,12122,7,944,1961,178400,1,1,1
750,564,2005,1500,8846,6,750,2005,173900,1,1,1
1336,375,1953,1336,15750,5,1165,1953,157000,1,1,0
864,398,2004,1593,7415,6,839,2004,193000,1,1,1
1130,836,2008,2184,11308,9,1104,2008,335000,1,1,1
1560,573,2003,1560,9196,7,1560,2003,201000,1,1,1
888,312,1942,1644,9480,5,728,1942,146500,1,1,0
630,286,1970,630,1526,4,630,1970,86000,1,1,0
1113,504,1987,1113,7917,6,1143,1976,148000,1,1,1
1071,947,2006,2172,14154,7,1063,2006,280000,1,1,1
796,384,1950,1346,11767,4,560,1910,112000,1,1,1
1184,550,2007,2610,9000,8,1184,2007,303477,1,1,1
1026,936,2005,1958,10625,7,1026,2005,250000,1,1,1
1468,898,2008,1468,9612,8,1468,2008,244600,1,1,1
1302,539,1977,1734,10125,5,0,1977,126000,0,1,0
768,240,1946,1200,11767,5,768,1946,130500,1,1,0
1112,438,2007,1550,8125,7,1092,2006,241000,1,1,1
954,440,1997,2230,6204,4,795,1912,118500,1,1,1
1166,240,1936,1639,10480,6,1064,1936,115000,1,1,0
864,624,1964,864,9100,5,864,1958,129900,1,1,0
1621,440,1984,1621,14145,7,1208,1984,202500,1,1,1
483,264,1972,987,1680,6,483,1972,118000,1,1,0
1238,628,1989,2519,26178,7,1210,1989,335000,1,1,1
765,440,1970,1365,2368,5,765,1970,125000,1,1,1
1149,779,2002,2290,11250,8,1128,2002,255900,1,1,0
1249,840,2006,2596,16259,9,1249,2006,342643,1,1,1
907,352,1964,907,8593,4,907,1957,109008,1,1,0
855,440,1976,1456,2280,6,855,1976,148500,1,1,0
1190,540,1962,1190,7728,5,1106,1962,132500,1,1,1
858,684,1979,858,7340,4,858,1971,110000,1,1,0
2223,516,1973,2223,13651,7,2223,1973,244000,1,1,0
1005,672,1977,1005,10434,4,1005,1955,115000,1,1,0
1086,409,1994,1895,10832,7,712,1994,194500,1,1,1
1040,384,1965,1040,11200,5,1040,1965,129500,1,1,0
1264,461,1960,1264,9300,5,1268,1960,167500,1,1,0
